Codebase Encoding,Attack Vector Encoding,DV Encoding,SCP Encoding,Impact Encoding,Attacker Type
100000,10000,10,1000100,10100000,State
100000,10000,10,1110,1110100010,N/A
100000,1,10,1,1,N/A
101000,1,10,1010,1010100000,N/A
101000,10,10,11000,1010000000,N/A
101000,1,10,1,1010100000,State
100001,1,1100000,1,1110100000,State
1000000,1,10010,1010,110100000,N/A
1000000,1000000,10000000000,1,1010100001,State
1000000,10,10001100000,1,1010100000,State
1000000,1,1000,10,100000,N/A
1000000,101,10,1,110000,Criminal
1000000,10,10,10010,1000000,N/A
1000000,10,10,10010,100000,N/A
1000000,1,1,1100000,1000000000,N/A
1100000,1,10,1,1010100000,Criminal
1100000,10000,10,1100,1010000000,N/A
1100000,1,10,1000000,1000000000,N/A
1100000,1001,10,1,1000100000,Unknown
1010000,100100,1000000100,1,1010100000,Unknown
1010000,1,10,10,1110100000,N/A
1011000,10010,10,11100,1110100000,N/A
10000,100,100000000,1,1000000000,Criminal
10000,100,100000000,1,1010100000,Criminal
10000,100000,100000100,1,1000000000,Criminal
10000,10,100000010,10010,1,N/A
10000,1000000,10000000000,1,1,Unknown
10000,1001000,10000000000,1,1010100001,State
10000,1000000,10000000000,1,1000000001,Unknown
10000,1,10000000000,1,1010100000,State
10000,100,10000000000,1,1010100000,Criminal
10000,1000000,10000000000,1,1000000000,State
10000,1,10000000000,1,1000000000,State
10000,101000,10000000000,1,1010100000,State
10000,1,10000000000,1,100100,Unknown
10000,1000000,10000000000,1,1000100000,Unknown
10000,100,10100000000,1,1010100000,Unknown
10000,1000000,10100000000,1,10,Criminal
10000,1000000,10000000100,1,1000000000,Unknown
10000,1000000,10000010000,1,1010100000,State
10000,1001,10000001000,1,1010100000,State
10000,1000000,10000000010,1,1010100000,State
10000,1,10000000010,1,1010100000,State
10000,10,10000000010,1,1000000,Criminal
10000,1000000,10000000010,1,1000100000,Unknown
10000,1000,10001000000,1,1010100010,State
10000,100,1000000000,1,1000,Criminal
10000,10,1100000010,1111010,1110100010,N/A
10000,100001,1000000100,1,0,Unknown
10000,100000,1000000100,1,1000110000,Criminal
10000,1,10,1000000,1000000010,N/A
10000,1000,10,1,1000000000,Unknown
10000,1,10,10,1,N/A
10000,10000,10,1100100,1010000000,N/A
10000,1,10,1000000,1000000000,N/A
10000,100,10,1,1010100000,State
10000,1001000,10,1,1010000000,Unknown
10000,100001,10,1,1000000000,Criminal
10000,1000,10,1,1000100000,Criminal
10000,10000,10,100,1010100100,N/A
10000,1100,1.11E+11,1,100000,State
10000,1000000,1,1,1000100000,State
10000,1,1000010,1,1010100000,State
11000,1,100,10,100000010,N/A
11000,1000000,10001100010,1,1110100000,State
11000,1000,1101010,1,1110100010,State
1000,1000000,10000000010,110000,10100000,N/A
1000,1,10,10,100010,N/A
1000,11000,10,1,10100000,Unknown
1000,1,10,1010,10100000,N/A
1000,10,10,11010,1010100000,N/A
1000,11,10,1010,1,N/A
1000,10,10,11010,1,N/A
1000,1,10,1000100,1010100000,N/A
10,100,1000000000,1,10000,Criminal
10,100,1000000000,1,1000000000,Unknown
10,100,1000000000,1,1000010000,Criminal
10,100,1000000000,1,1000101000,Criminal
10,100,1000000000,1,1000100000,State
10,100,1000000000,1,1010100000,State
10,100,1000000000,1,10000,Unknown
10,100,1100000000,1,1000101000,Criminal
10,100,1000001000,1,1000000000,State
10,100,1000001000,1,1010110000,Criminal
10,100,1.01E+11,1,1000010000,Criminal
10,100,1.011E+11,1,1010100000,Criminal
100,1000,10010000000,1,1000000000,Unknown
100,1000,10010000000,1,1000000000,Criminal
100,1000,10010000000,1,1011100000,Unknown
100,1000,10010000000,1,100000,Unknown
100,1,10010000000,1,1000100000,Unknown
100,1,10010000000,1,1010100100,Unknown
100,1,10000000,1000010,1000100010,N/A
100,1000,10000000,1,11000000,Unknown
100,1,10000000,10,1,N/A
100,100100,10000100,1,1010100000,Unknown
100,1,10000010,1100000,1000000000,N/A
100,1,10000010,1,100000,Unknown
100,1,10,1,1000000000,State
100,100,1.0001E+11,1,1000000000,Unknown
110,100,10000000,1,1010100100,Criminal
110,100,10000000,1,1000100000,Criminal
110,100,1000000000,1,1000000000,Unknown
110,1000,1000000000,1,1000001000,Criminal
110,100,1000000000,1,10000000,Unknown
110,100,1.0001E+11,1,1000000000,Criminal
110,100,1.0001E+11,1,1000,Unknown
110,400,1.0001E+11,1,1000000000,Unknown
110,100,1.0001E+11,1,1000,Criminal
10,100,100000000,1,1011000000,Criminal
1,1,1000000000,10,1,N/A
1,1001,11,1,1000000000,State
